;;;;;;;;;;;;;;;;;;STORE HOURS;;;;;;;;;;;;;;Core Services;;;;;;;;;;;;;;;;;;;;;;;;;;Extended Services;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;Monday;;Tuesday;;Wednesday;;Thursday;;Friday;;Saturday;;Sunday;;;3 Types;3 Types;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAC Store #;Detached/Attached/Free Standing;Store Type;Region Number;Region Name;District Number;District Name;Address;City ;ST;ZipCode;Phone #;WIFI;Car Rental;One-Stop;Latitude;Longitude;Store Manager;Open;Close;Open;Close;Open;Close;Open;Close;Open;Close;Open;Close;Open;Close;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2163;A;KSAC;9072;Northeast;514;Buffalo;171 DELAWARE AVE;SIDNEY;NY;2163;(607)563-3411;No;No;No;42,299026;-75,41113;Scott Mccarthy;8;18;8;18;8;18;8;18;8;18;8;18;0;0;Brake Service or brake check/evaluation;Oil change;Alignment;Transmission fluid exchange;Coolant exchange;Tire rotation;Wheel balancing;Tire mounting and balancing;Wheel lock removal;Power steering fluid exchange;Fuel system cleaning;Shock or Strut replacement;Wheel bearing service;Belt replacement;Differential service;Steering or suspension check/evaluation;Steering component replacement;Battery check;Battery replacement;Multi-point under car & under hood courtesy check;Flat repair;Air filter replacement;Cabin air filter replacement;Car top carrier installation;;Wiper blade installation;Exhaust Service;;;;;;;Valve Cover Gasket Service;;;Radiator Service and Repair;;Spark Plugs and other ignition service;Oxygen Sensors Service and Repair;
2601;A;SAC;9074;South Central;594;Knoxville/Winston Salem;1480 HIGHWAY 29 N             ;CONCORD      ;NC;28025;(704)721-2195;No;Yes;No;35,3891;-80,6324;Stephen Bryant;8;19;8;19;8;19;8;19;8;19;8;19;10;17;Brake Service or brake check/evaluation;Oil change;Alignment;Transmission fluid exchange;Coolant exchange;Tire rotation;Wheel balancing;Tire mounting and balancing;Wheel lock removal;Power steering fluid exchange;Fuel system cleaning;Shock or Strut replacement;Wheel bearing service;Belt replacement;Differential service;Steering or suspension check/evaluation;Steering component replacement;Battery check;Battery replacement;Multi-point under car & under hood courtesy check;Flat repair;Air filter replacement;Cabin air filter replacement;Car top carrier installation;Trailer Hitch Installation (Bolt-on only);Wiper blade installation;Exhaust Service;Air Conditioning repair and replace;Diagnostics;Fuel pumps service and installation;In tank fuel pump service and installation;Transmission service;Engine Replacement;Valve Cover Gasket Service;Head Gasket Service;Water Pump Service and Replacement;Radiator Service and Repair;Timing Belt Service and Repair;Spark Plugs and other ignition service;Oxygen Sensors Service and Repair;
2605;D;SAC;9011;North Central;741;Pittsburgh;2831 E COLLEGE AVE            ;STATE COLLEGE;PA;16801;(814)231-5682;No;No;No;40,829955;-77,803232;Denise Meyers;8;18;8;18;8;18;8;18;8;18;8;18;10;17;Brake Service or brake check/evaluation;Oil change;Alignment;Transmission fluid exchange;Coolant exchange;Tire rotation;Wheel balancing;Tire mounting and balancing;Wheel lock removal;Power steering fluid exchange;Fuel system cleaning;Shock or Strut replacement;Wheel bearing service;Belt replacement;Differential service;Steering or suspension check/evaluation;Steering component replacement;Battery check;Battery replacement;Multi-point under car & under hood courtesy check;Flat repair;Air filter replacement;Cabin air filter replacement;Car top carrier installation;;Wiper blade installation;Exhaust Service;;Diagnostics;;;;;;;Water Pump Service and Replacement;Radiator Service and Repair;;Spark Plugs and other ignition service;Oxygen Sensors Service and Repair;State Inspection/Emissions Servce
2607;A;SAC;9086;West;516;Albuquerque;2250 EL MERCADO LOOP          ;SIERRA VISTA ;AZ;85635;(520)515-3295;No;No;No;31,52694;-110,2597;Gerald Zelazny;8;18;8;18;8;18;8;18;8;18;8;18;10;17;Brake Service or brake check/evaluation;Oil change;Alignment;Transmission fluid exchange;Coolant exchange;Tire rotation;Wheel balancing;Tire mounting and balancing;Wheel lock removal;Power steering fluid exchange;Fuel system cleaning;Shock or Strut replacement;Wheel bearing service;Belt replacement;Differential service;Steering or suspension check/evaluation;Steering component replacement;Battery check;Battery replacement;Multi-point under car & under hood courtesy check;Flat repair;Air filter replacement;Cabin air filter replacement;Car top carrier installation;Trailer Hitch Installation (Bolt-on only);Wiper blade installation;Exhaust Service;Air Conditioning repair and replace;Diagnostics;Fuel pumps service and installation;In tank fuel pump service and installation;Transmission service;Engine Replacement;Valve Cover Gasket Service;Head Gasket Service;Water Pump Service and Replacement;Radiator Service and Repair;Timing Belt Service and Repair;Spark Plugs and other ignition service;Oxygen Sensors Service and Repair;
2608;D;SAC;9072;Northeast;572;Warwick;1201 BOSTON POST/CONN PT 2095 ;MILFORD      ;CT;6460;(203)876-3295;No;No;No;41,236784;-73,038505;R Bradley Lewis;8;18;8;18;8;18;8;18;8;18;8;18;10;17;Brake Service or brake check/evaluation;Oil change;Alignment;Transmission fluid exchange;Coolant exchange;Tire rotation;Wheel balancing;Tire mounting and balancing;Wheel lock removal;Power steering fluid exchange;Fuel system cleaning;Shock or Strut replacement;Wheel bearing service;Belt replacement;Differential service;Steering or suspension check/evaluation;Steering component replacement;Battery check;Battery replacement;Multi-point under car & under hood courtesy check;Flat repair;Air filter replacement;Cabin air filter replacement;Car top carrier installation;Trailer Hitch Installation (Bolt-on only);Wiper blade installation;Exhaust Service;Air Conditioning repair and replace;;Fuel pumps service and installation;;;;Valve Cover Gasket Service;;Water Pump Service and Replacement;Radiator Service and Repair;Timing Belt Service and Repair;Spark Plugs and other ignition service;Oxygen Sensors Service and Repair;
2609;A;SAC;9086;West;536;San Diego;2200 W FLORIDA AVE            ;HEMET        ;CA;92545;(951)791-2328;No;No;No;33,747411;-116,994553;Terry Zifko;8;19;8;20;8;20;8;19;8;20;8;19;10;17;Brake Service or brake check/evaluation;Oil change;Alignment;Transmission fluid exchange;Coolant exchange;Tire rotation;Wheel balancing;Tire mounting and balancing;Wheel lock removal;Power steering fluid exchange;Fuel system cleaning;Shock or Strut replacement;Wheel bearing service;Belt replacement;Differential service;Steering or suspension check/evaluation;Steering component replacement;Battery check;Battery replacement;Multi-point under car & under hood courtesy check;Flat repair;Air filter replacement;Cabin air filter replacement;Car top carrier installation;;Wiper blade installation;;;;;;;;Valve Cover Gasket Service;;Water Pump Service and Replacement;Radiator Service and Repair;Timing Belt Service and Repair;Spark Plugs and other ignition service;Oxygen Sensors Service and Repair;
2611;Free;SAC;9072;Northeast;540;New Jersey;832 RTE 1 SOUTH               ;ISELIN       ;NJ;8830;(732)283-7025;No;No;No;40,559689;-74,303924;John Albizu;8;19;8;19;8;19;8;19;8;19;8;19;10;16;Brake Service or brake check/evaluation;Oil change;Alignment;Transmission fluid exchange;Coolant exchange;Tire rotation;Wheel balancing;Tire mounting and balancing;Wheel lock removal;Power steering fluid exchange;Fuel system cleaning;Shock or Strut replacement;Wheel bearing service;Belt replacement;Differential service;Steering or suspension check/evaluation;Steering component replacement;Battery check;Battery replacement;Multi-point under car & under hood courtesy check;Flat repair;Air filter replacement;Cabin air filter replacement;Car top carrier installation;Trailer Hitch Installation (Bolt-on only);Wiper blade installation;Exhaust Service;Air Conditioning repair and replace;Diagnostics;Fuel pumps service and installation;In tank fuel pump service and installation;Transmission service;;;Head Gasket Service;Water Pump Service and Replacement;Radiator Service and Repair;Timing Belt Service and Repair;Spark Plugs and other ignition service;Oxygen Sensors Service and Repair;
